Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
151-200,Tufts University,55-62,17.7,http://www.shanghairanking.com/_uni/logo/a74ac6721.png,http://www.shanghairanking.com/institution/tufts-university
151-200,University of Barcelona,1,0.0,http://www.shanghairanking.com/_uni/logo/bb05b95cc.png,http://www.shanghairanking.com/institution/university-of-barcelona
151-200,"University of California, Santa Cruz",55-62,0.0,http://www.shanghairanking.com/_uni/logo/9ca868f71.png,http://www.shanghairanking.com/institution/university-of-california-santa-cruz
151-200,University of Cologne,6-9,0.0,http://www.shanghairanking.com/_uni/logo/0e5b47b25.png,http://www.shanghairanking.com/institution/university-of-cologne
151-200,University of Electronic Science and Technology of China,14-26,0.0,http://www.shanghairanking.com/_uni/logo/55538407.png,http://www.shanghairanking.com/institution/university-of-electronic-science-and-technology-of-china
151-200,University of Goettingen,6-9,30.2,http://www.shanghairanking.com/_uni/logo/f34acde58.png,http://www.shanghairanking.com/institution/university-of-goettingen
151-200,University of Leeds,17-21,16.0,http://www.shanghairanking.com/_uni/logo/6dd8db10a.png,http://www.shanghairanking.com/institution/university-of-leeds
151-200,University of Massachusetts Amherst,55-62,13.1,http://www.shanghairanking.com/_uni/logo/cc867307c.png,http://www.shanghairanking.com/institution/university-of-massachusetts-amherst
151-200,University of Milan,2-4,16.0,http://www.shanghairanking.com/_uni/logo/22f0a5d5b.png,http://www.shanghairanking.com/institution/university-of-milan
151-200,University of Montpellier,8,9.2,http://www.shanghairanking.com/_uni/logo/494a1c1f0.png,http://www.shanghairanking.com/institution/university-of-montpellier
151-200,University of Padua,2-4,0.0,http://www.shanghairanking.com/_uni/logo/290d176ce.png,http://www.shanghairanking.com/institution/university-of-padua
151-200,University of Pisa,2-4,20.0,http://www.shanghairanking.com/_uni/logo/a979256d7.png,http://www.shanghairanking.com/institution/university-of-pisa
151-200,University of Rochester,55-62,31.6,http://www.shanghairanking.com/_uni/logo/9fac3887f.png,http://www.shanghairanking.com/institution/university-of-rochester
151-200,University of Southampton,17-21,0.0,http://www.shanghairanking.com/_uni/logo/ed12f6724.png,http://www.shanghairanking.com/institution/university-of-southampton
151-200,University of Sussex,17-21,0.0,http://www.shanghairanking.com/_uni/logo-jpg/a488c8b5400.jpg,http://www.shanghairanking.com/institution/university-of-sussex
151-200,University of Tuebingen,6-9,21.4,http://www.shanghairanking.com/_uni/logo/ffb5a5c9e.png,http://www.shanghairanking.com/institution/university-of-tuebingen
151-200,University of Vienna,1,10.7,http://www.shanghairanking.com/_uni/logo/442aa1711.png,http://www.shanghairanking.com/institution/university-of-vienna
151-200,University of Waterloo,7-8,0.0,http://www.shanghairanking.com/_uni/logo/afeac310e.png,http://www.shanghairanking.com/institution/university-of-waterloo
151-200,Vrije Universiteit Amsterdam,7-9,0.0,http://www.shanghairanking.com/_uni/logo/9882fdffd.png,http://www.shanghairanking.com/institution/vrije-universiteit-amsterdam
151-200,Wageningen University & Research,7-9,0.0,http://www.shanghairanking.com/_uni/logo/e48392d63.png,http://www.shanghairanking.com/institution/wageningen-university-research
151-200,Xiamen University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/14008229.png,http://www.shanghairanking.com/institution/xiamen-university
201-300,Autonomous University of Barcelona,2-5,0.0,http://www.shanghairanking.com/_uni/logo/ae2a39e54.png,http://www.shanghairanking.com/institution/autonomous-university-of-barcelona
201-300,Beihang University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/22403670.png,http://www.shanghairanking.com/institution/beihang-university
201-300,Beijing Normal University,27-40,15.1,http://www.shanghairanking.com/_uni/logo/38816505.png,http://www.shanghairanking.com/institution/beijing-normal-university
201-300,Catholic University of Louvain,4-5,9.2,http://www.shanghairanking.com/_uni/logo/ad05feb78.png,http://www.shanghairanking.com/institution/catholic-university-of-louvain
201-300,China Agricultural University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/48410070.png,http://www.shanghairanking.com/institution/china-agricultural-university
201-300,China Medical University (Taichung),1-2,0.0,http://www.shanghairanking.com/_uni/logo/e4e511a59.png,http://www.shanghairanking.com/institution/china-medical-university-taichung
201-300,Chongqing University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/79822387.png,http://www.shanghairanking.com/institution/chongqing-university
201-300,Claude Bernard University Lyon 1,9-12,9.2,http://www.shanghairanking.com/_uni/logo/bfcb2841f.png,http://www.shanghairanking.com/institution/claude-bernard-university-lyon-1
201-300,Colorado State University,63-85,0.0,http://www.shanghairanking.com/_uni/logo/5890dd554.png,http://www.shanghairanking.com/institution/colorado-state-university
201-300,Complutense University of Madrid,2-5,16.9,http://www.shanghairanking.com/_uni/logo/5d01436ca.png,http://www.shanghairanking.com/institution/complutense-university-of-madrid
201-300,Curtin University,9-18,0.0,http://www.shanghairanking.com/_uni/logo/99e4b9934.png,http://www.shanghairanking.com/institution/curtin-university
201-300,Dalian University of Technology,27-40,0.0,http://www.shanghairanking.com/_uni/logo/54289554.png,http://www.shanghairanking.com/institution/dalian-university-of-technology
201-300,Deakin University,9-18,0.0,http://www.shanghairanking.com/_uni/logo/b20086809.png,http://www.shanghairanking.com/institution/deakin-university
201-300,East China Normal University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/47430452.png,http://www.shanghairanking.com/institution/east-china-normal-university
201-300,Florida State University,63-85,0.0,http://www.shanghairanking.com/_uni/logo/731b432f8.png,http://www.shanghairanking.com/institution/florida-state-university
201-300,George Mason University,63-85,0.0,http://www.shanghairanking.com/_uni/logo/ba8ac68f7.png,http://www.shanghairanking.com/institution/george-mason-university
201-300,Griffith University,9-18,0.0,http://www.shanghairanking.com/_uni/logo/bdd9a6db5.png,http://www.shanghairanking.com/institution/griffith-university
201-300,Hanyang University,2-7,0.0,http://www.shanghairanking.com/_uni/logo/33d276332.png,http://www.shanghairanking.com/institution/hanyang-university
201-300,Hokkaido University,7-8,10.7,http://www.shanghairanking.com/_uni/logo/0ed9be4d1.png,http://www.shanghairanking.com/institution/hokkaido-university
201-300,Hunan University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/79015808.png,http://www.shanghairanking.com/institution/hunan-university
201-300,Jiangsu University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/28154997.png,http://www.shanghairanking.com/institution/jiangsu-university
201-300,Karlsruhe Institute of Technology (KIT),10-19,0.0,http://www.shanghairanking.com/_uni/logo/673bb8044.png,http://www.shanghairanking.com/institution/karlsruhe-institute-of-technology-kit
201-300,King Abdullah University of Science and Technology,3,0.0,http://www.shanghairanking.com/_uni/logo/aebd2c07c.png,http://www.shanghairanking.com/institution/king-abdullah-university-of-science-and-technology
201-300,Korea Advanced Institute of Science and Technology,2-7,0.0,http://www.shanghairanking.com/_uni/logo/8f3ceaab6.png,http://www.shanghairanking.com/institution/korea-advanced-institute-of-science-and-technology
201-300,Korea University,2-7,0.0,http://www.shanghairanking.com/_uni/logo/8310aa48b.png,http://www.shanghairanking.com/institution/korea-university
201-300,KTH Royal Institute of Technology,6,0.0,http://www.shanghairanking.com/_uni/logo/2f5376155.png,http://www.shanghairanking.com/institution/kth-royal-institute-of-technology
201-300,La Trobe University,9-18,0.0,http://www.shanghairanking.com/_uni/logo/8bd69d24a.png,http://www.shanghairanking.com/institution/la-trobe-university
201-300,Maastricht University,10,0.0,http://www.shanghairanking.com/_uni/logo/92916ebea.png,http://www.shanghairanking.com/institution/maastricht-university
201-300,Macquarie University,9-18,0.0,http://www.shanghairanking.com/_uni/logo/b9794c3ca.png,http://www.shanghairanking.com/institution/macquarie-university
201-300,Medical University of Vienna,2,7.5,http://www.shanghairanking.com/_uni/logo/8c654cbfd.png,http://www.shanghairanking.com/institution/medical-university-of-vienna
201-300,Nanjing Medical University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/76762015.png,http://www.shanghairanking.com/institution/nanjing-medical-university
201-300,Nankai University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/44629152.png,http://www.shanghairanking.com/institution/nankai-university
201-300,National Autonomous University of Mexico,1,11.9,http://www.shanghairanking.com/_uni/logo/22d59f1cc.png,http://www.shanghairanking.com/institution/national-autonomous-university-of-mexico
201-300,National Taiwan University,1-2,10.7,http://www.shanghairanking.com/_uni/logo/075ca4af3.png,http://www.shanghairanking.com/institution/national-taiwan-university
201-300,Newcastle University,22-25,0.0,http://www.shanghairanking.com/_uni/logo-jpg/0503dcf9e00.jpg,http://www.shanghairanking.com/institution/newcastle-university
201-300,North Carolina State University - Raleigh,63-85,0.0,http://www.shanghairanking.com/_uni/logo/1df34c570.png,http://www.shanghairanking.com/institution/north-carolina-state-university-raleigh
201-300,Northeastern University (Boston),63-85,0.0,http://www.shanghairanking.com/_uni/logo/ba7ef1f93.png,http://www.shanghairanking.com/institution/northeastern-university-boston
201-300,Oregon Health and Science University,63-85,0.0,http://www.shanghairanking.com/_uni/logo/e0d414de9.png,http://www.shanghairanking.com/institution/oregon-health-and-science-university
201-300,Oregon State University,63-85,7.5,http://www.shanghairanking.com/_uni/logo/5f1862f7c.png,http://www.shanghairanking.com/institution/oregon-state-university
201-300,Paul Sabatier University (Toulouse 3),9-12,0.0,http://www.shanghairanking.com/_uni/logo/0e606f4e4.png,http://www.shanghairanking.com/institution/paul-sabatier-university-toulouse-3
201-300,Polytechnic University of Milan,5-8,5.3,http://www.shanghairanking.com/_uni/logo/84ea078dc.png,http://www.shanghairanking.com/institution/polytechnic-university-of-milan
201-300,Queen Mary University of London,22-25,16.0,http://www.shanghairanking.com/_uni/logo/7aaa63173.png,http://www.shanghairanking.com/institution/queen-mary-university-of-london
201-300,Queen's University,9-12,13.1,http://www.shanghairanking.com/_uni/logo/cf8e155e5.png,http://www.shanghairanking.com/institution/queens-university
201-300,Queensland University of Technology,9-18,0.0,http://www.shanghairanking.com/_uni/logo/1bf5888c9.png,http://www.shanghairanking.com/institution/queensland-university-of-technology
201-300,RWTH Aachen University,10-19,0.0,http://www.shanghairanking.com/_uni/logo/577d10b40.png,http://www.shanghairanking.com/institution/rwth-aachen-university
201-300,Shanghai University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/94139385.png,http://www.shanghairanking.com/institution/shanghai-university
201-300,Shenzhen University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/88823168.png,http://www.shanghairanking.com/institution/shenzhen-university
201-300,Sungkyunkwan University,2-7,0.0,http://www.shanghairanking.com/_uni/logo/13a2c1830.png,http://www.shanghairanking.com/institution/sungkyunkwan-university
201-300,Swinburne University of Technology,9-18,0.0,http://www.shanghairanking.com/_uni/logo/7399ab511.png,http://www.shanghairanking.com/institution/swinburne-university-of-technology
201-300,The George Washington University,63-85,10.7,http://www.shanghairanking.com/_uni/logo/cb85da2ec.png,http://www.shanghairanking.com/institution/the-george-washington-university
201-300,The University of Auckland,1,13.1,http://www.shanghairanking.com/_uni/logo/05b4edbf7.png,http://www.shanghairanking.com/institution/the-university-of-auckland
201-300,TU Dresden,10-19,0.0,http://www.shanghairanking.com/_uni/logo-jpg/fce781c0600.jpg,http://www.shanghairanking.com/institution/tu-dresden
201-300,Ulsan National Institute of Science and Technology,2-7,0.0,http://www.shanghairanking.com/_uni/logo-jpg/e95f5525700.jpg,http://www.shanghairanking.com/institution/ulsan-national-institute-of-science-and-technology
201-300,University of Aberdeen,22-25,0.0,http://www.shanghairanking.com/_uni/logo/0717053d3.png,http://www.shanghairanking.com/institution/university-of-aberdeen
201-300,University of Antwerp,4-5,0.0,http://www.shanghairanking.com/_uni/logo/9bd98c131.png,http://www.shanghairanking.com/institution/university-of-antwerp
201-300,University of Bologna,5-8,0.0,http://www.shanghairanking.com/_uni/logo/05d515e2f.png,http://www.shanghairanking.com/institution/university-of-bologna
201-300,University of Bordeaux,9-12,0.0,http://www.shanghairanking.com/_uni/logo/31283162c.png,http://www.shanghairanking.com/institution/university-of-bordeaux
201-300,University of Buenos Aires,1,11.9,http://www.shanghairanking.com/_uni/logo/3ec293867.png,http://www.shanghairanking.com/institution/university-of-buenos-aires
201-300,"University of California, Riverside",63-85,11.9,http://www.shanghairanking.com/_uni/logo/5f4516909.png,http://www.shanghairanking.com/institution/university-of-california-riverside
201-300,University of Cape Town,1,16.9,http://www.shanghairanking.com/_uni/logo/232448cdc.png,http://www.shanghairanking.com/institution/university-of-cape-town
201-300,University of Colorado at Denver,63-85,0.0,http://www.shanghairanking.com/_uni/logo/69b80bb67.png,http://www.shanghairanking.com/institution/university-of-colorado-at-denver
201-300,University of Delaware,63-85,9.2,http://www.shanghairanking.com/_uni/logo/0837d432d.png,http://www.shanghairanking.com/institution/university-of-delaware
201-300,University of East Anglia,22-25,22.6,http://www.shanghairanking.com/_uni/logo/651b3ae7e.png,http://www.shanghairanking.com/institution/university-of-east-anglia
201-300,University of Erlangen-Nuremberg,10-19,0.0,http://www.shanghairanking.com/_uni/logo/afb3d8190.png,http://www.shanghairanking.com/institution/university-of-erlangen-nuremberg
201-300,University of Granada,2-5,0.0,http://www.shanghairanking.com/_uni/logo/ae3e5b29e.png,http://www.shanghairanking.com/institution/university-of-granada
201-300,University of Hamburg,10-19,14.1,http://www.shanghairanking.com/_uni/logo/1f501fa40.png,http://www.shanghairanking.com/institution/university-of-hamburg
201-300,University of Houston,63-85,0.0,http://www.shanghairanking.com/_uni/logo/b1fdf2977.png,http://www.shanghairanking.com/institution/university-of-houston
201-300,University of Iowa,63-85,0.0,http://www.shanghairanking.com/_uni/logo/64ddaf953.png,http://www.shanghairanking.com/institution/university-of-iowa
201-300,University of Kansas,63-85,16.9,http://www.shanghairanking.com/_uni/logo/bd525bf4e.png,http://www.shanghairanking.com/institution/university-of-kansas
201-300,University of Kiel,10-19,7.5,http://www.shanghairanking.com/_uni/logo/0247385d2.png,http://www.shanghairanking.com/institution/university-of-kiel
201-300,University of Leipzig,10-19,9.2,http://www.shanghairanking.com/_uni/logo/95371c744.png,http://www.shanghairanking.com/institution/university-of-leipzig
201-300,University of Lisbon,1-2,0.0,http://www.shanghairanking.com/_uni/logo/5be973b27.png,http://www.shanghairanking.com/institution/university-of-lisbon
201-300,University of Lorraine,9-12,10.7,http://www.shanghairanking.com/_uni/logo/0f0c19e32.png,http://www.shanghairanking.com/institution/university-of-lorraine
201-300,University of Mainz,10-19,0.0,http://www.shanghairanking.com/_uni/logo/44fd66a86.png,http://www.shanghairanking.com/institution/university-of-mainz
201-300,University of Manitoba,9-12,10.7,http://www.shanghairanking.com/_uni/logo/b66139813.png,http://www.shanghairanking.com/institution/university-of-manitoba
201-300,University of Massachusetts Medical School - Worcester,63-85,0.0,http://www.shanghairanking.com/_uni/logo/c2a3365ca.png,http://www.shanghairanking.com/institution/university-of-massachusetts-medical-school-worcester
201-300,University of Miami,63-85,0.0,http://www.shanghairanking.com/_uni/logo/bbb3b957a.png,http://www.shanghairanking.com/institution/university-of-miami
201-300,University of Missouri - Columbia,63-85,7.5,http://www.shanghairanking.com/_uni/logo/84de5e5b1.png,http://www.shanghairanking.com/institution/university-of-missouri-columbia
201-300,University of Muenster,10-19,18.5,http://www.shanghairanking.com/_uni/logo-jpg/99b87390900.jpg,http://www.shanghairanking.com/institution/university-of-muenster
201-300,University of Naples Federico II,5-8,0.0,http://www.shanghairanking.com/_uni/logo/05e74c379.png,http://www.shanghairanking.com/institution/university-of-naples-federico-ii
201-300,University of Nebraska - Lincoln,63-85,15.1,http://www.shanghairanking.com/_uni/logo/49b53c7ad.png,http://www.shanghairanking.com/institution/university-of-nebraska-lincoln
201-300,University of Ottawa,9-12,0.0,http://www.shanghairanking.com/_uni/logo/eaae11f5f.png,http://www.shanghairanking.com/institution/university-of-ottawa
201-300,University of Porto,1-2,0.0,http://www.shanghairanking.com/_uni/logo-jpg/d9082956b00.jpg,http://www.shanghairanking.com/institution/university-of-porto
201-300,University of Science and Technology Beijing,27-40,0.0,http://www.shanghairanking.com/_uni/logo/96310183.png,http://www.shanghairanking.com/institution/university-of-science-and-technology-beijing
201-300,University of South Florida,63-85,0.0,http://www.shanghairanking.com/_uni/logo/5a874adcf.png,http://www.shanghairanking.com/institution/university-of-south-florida
201-300,University of Southern Denmark,4,0.0,http://www.shanghairanking.com/_uni/logo/8c66c5a09.png,http://www.shanghairanking.com/institution/university-of-southern-denmark
201-300,University of Tasmania,9-18,0.0,http://www.shanghairanking.com/_uni/logo/543d80c32.png,http://www.shanghairanking.com/institution/university-of-tasmania
201-300,University of Technology Sydney,9-18,0.0,http://www.shanghairanking.com/_uni/logo/1778c7bfd.png,http://www.shanghairanking.com/institution/university-of-technology-sydney
201-300,University of Tennessee - Knoxville,63-85,9.2,http://www.shanghairanking.com/_uni/logo/27a58d8fe.png,http://www.shanghairanking.com/institution/university-of-tennessee-knoxville
201-300,University of Tsukuba,7-8,0.0,http://www.shanghairanking.com/_uni/logo/a1d685faa.png,http://www.shanghairanking.com/institution/university-of-tsukuba
201-300,University of Turin,5-8,13.1,http://www.shanghairanking.com/_uni/logo/1d6abed85.png,http://www.shanghairanking.com/institution/university-of-turin
201-300,University of Valencia,2-5,0.0,http://www.shanghairanking.com/_uni/logo/6353e32c9.png,http://www.shanghairanking.com/institution/university-of-valencia
201-300,University of Virginia,63-85,0.0,http://www.shanghairanking.com/_uni/logo/3d702cdba.png,http://www.shanghairanking.com/institution/university-of-virginia
201-300,University of Wollongong,9-18,0.0,http://www.shanghairanking.com/_uni/logo/60cbe9b79.png,http://www.shanghairanking.com/institution/university-of-wollongong
201-300,University of Wuerzburg,10-19,18.5,http://www.shanghairanking.com/_uni/logo/90768ed0f.png,http://www.shanghairanking.com/institution/university-of-wuerzburg
201-300,Virginia Commonwealth University,63-85,9.2,http://www.shanghairanking.com/_uni/logo/060382474.png,http://www.shanghairanking.com/institution/virginia-commonwealth-university
201-300,Virginia Polytechnic Institute and State University,63-85,10.7,http://www.shanghairanking.com/_uni/logo/e010632dd.png,http://www.shanghairanking.com/institution/virginia-polytechnic-institute-and-state-university
201-300,Western University,9-12,0.0,http://www.shanghairanking.com/_uni/logo/c29ef8efe.png,http://www.shanghairanking.com/institution/western-university
201-300,Yonsei University,2-7,0.0,http://www.shanghairanking.com/_uni/logo/9aca43746.png,http://www.shanghairanking.com/institution/yonsei-university
201-300,Zhengzhou University,27-40,0.0,http://www.shanghairanking.com/_uni/logo/68963418.png,http://www.shanghairanking.com/institution/zhengzhou-university
301-400,Aalborg University,5,0.0,http://www.shanghairanking.com/_uni/logo/9da905b7f.png,http://www.shanghairanking.com/institution/aalborg-university
301-400,Aalto University,2,0.0,http://www.shanghairanking.com/_uni/logo/699336500.png,http://www.shanghairanking.com/institution/aalto-university
301-400,Albert Einstein College of Medicine,86-106,0.0,http://www.shanghairanking.com/_uni/logo/e113afb1b.png,http://www.shanghairanking.com/institution/albert-einstein-college-of-medicine
301-400,Autonomous University of Madrid,6-8,0.0,http://www.shanghairanking.com/_uni/logo/1ae8d6f97.png,http://www.shanghairanking.com/institution/autonomous-university-of-madrid
301-400,Bar-Ilan University,5,0.0,http://www.shanghairanking.com/_uni/logo/ecb97f756.png,http://www.shanghairanking.com/institution/bar-ilan-university
301-400,Beijing University of Chemical Technology,41-58,0.0,http://www.shanghairanking.com/_uni/logo/46052210.png,http://www.shanghairanking.com/institution/beijing-university-of-chemical-technology
301-400,Brandeis University,86-106,18.5,http://www.shanghairanking.com/_uni/logo/c824fcc8e.png,http://www.shanghairanking.com/institution/brandeis-university
301-400,Cairo University,1,17.7,http://www.shanghairanking.com/_uni/logo/881613d6a.png,http://www.shanghairanking.com/institution/cairo-university
301-400,Capital Medical University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/63885672.png,http://www.shanghairanking.com/institution/capital-medical-university
301-400,Catholic University of the Sacred Heart,9-11,0.0,http://www.shanghairanking.com/_uni/logo/f49b8c396.png,http://www.shanghairanking.com/institution/catholic-university-of-the-sacred-heart
301-400,Charles University in Prague,1,0.0,http://www.shanghairanking.com/_uni/logo/b21d1a50b.png,http://www.shanghairanking.com/institution/charles-university-in-prague
301-400,China University of Geosciences (Wuhan),41-58,0.0,http://www.shanghairanking.com/_uni/logo/25952542.png,http://www.shanghairanking.com/institution/china-university-of-geosciences-wuhan
301-400,Peking Union Medical College,41-58,0.0,http://www.shanghairanking.com/_uni/logo/81176996.png,http://www.shanghairanking.com/institution/peking-union-medical-college
301-400,Dalhousie University,13-17,11.9,http://www.shanghairanking.com/_uni/logo/3cae36dc6.png,http://www.shanghairanking.com/institution/dalhousie-university
301-400,Dartmouth College,86-106,16.0,http://www.shanghairanking.com/_uni/logo/cd738deeb.png,http://www.shanghairanking.com/institution/dartmouth-college
301-400,Drexel University,86-106,0.0,http://www.shanghairanking.com/_uni/logo/7dddd2afc.png,http://www.shanghairanking.com/institution/drexel-university
301-400,Durham University,26-33,0.0,http://www.shanghairanking.com/_uni/logo/110e53af0.png,http://www.shanghairanking.com/institution/durham-university
301-400,East China University of Science and Technology,41-58,0.0,http://www.shanghairanking.com/_uni/logo/93042584.png,http://www.shanghairanking.com/institution/east-china-university-of-science-and-technology
301-400,Ecole Normale Superieure - Lyon,13-16,16.0,http://www.shanghairanking.com/_uni/logo/1499c2d6e.png,http://www.shanghairanking.com/institution/ecole-normale-superieure-lyon
301-400,Eindhoven University of Technology,11,0.0,http://www.shanghairanking.com/_uni/logo-jpg/0b4b50b9c00.jpg,http://www.shanghairanking.com/institution/eindhoven-university-of-technology
301-400,Fuzhou University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/77372849.png,http://www.shanghairanking.com/institution/fuzhou-university
301-400,Heinrich Heine University Duesseldorf,20-25,10.7,http://www.shanghairanking.com/_uni/logo/23cac266a.png,http://www.shanghairanking.com/institution/heinrich-heine-university-duesseldorf
301-400,Huazhong Agricultural University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/20950268.png,http://www.shanghairanking.com/institution/huazhong-agricultural-university
301-400,Indian Institute of Science,1,0.0,http://www.shanghairanking.com/_uni/logo/f973a1877.png,http://www.shanghairanking.com/institution/indian-institute-of-science
301-400,Indiana University-Purdue University at Indianapolis,86-106,0.0,http://www.shanghairanking.com/_uni/logo/0d566a3be.png,http://www.shanghairanking.com/institution/indiana-university-purdue-university-at-indianapolis
301-400,Institut Polytechnique de Paris,13-16,20.7,http://www.shanghairanking.com/_uni/logo/0d30b2a30.png,http://www.shanghairanking.com/institution/institut-polytechnique-de-paris
301-400,James Cook University,19-22,0.0,http://www.shanghairanking.com/_uni/logo/78cde8bfd.png,http://www.shanghairanking.com/institution/james-cook-university
301-400,Jinan University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/78175531.png,http://www.shanghairanking.com/institution/jinan-university
301-400,Keio University,9-10,0.0,http://www.shanghairanking.com/_uni/logo-jpg/dc415a48e00.jpg,http://www.shanghairanking.com/institution/keio-university
301-400,Kyushu University,9-10,0.0,http://www.shanghairanking.com/_uni/logo/d57292828.png,http://www.shanghairanking.com/institution/kyushu-university
301-400,Lancaster University,26-33,0.0,http://www.shanghairanking.com/_uni/logo/e4c52cb63.png,http://www.shanghairanking.com/institution/lancaster-university
301-400,Lanzhou University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/84317715.png,http://www.shanghairanking.com/institution/lanzhou-university
301-400,Laval University,13-17,0.0,http://www.shanghairanking.com/_uni/logo/2a9c8ff20.png,http://www.shanghairanking.com/institution/laval-university
301-400,Linkoping University,7-8,0.0,http://www.shanghairanking.com/_uni/logo/7648d845d.png,http://www.shanghairanking.com/institution/linkoping-university
301-400,Nanchang University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/25119833.png,http://www.shanghairanking.com/institution/nanchang-university
301-400,Nanjing Agricultural University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/43891811.png,http://www.shanghairanking.com/institution/nanjing-agricultural-university
301-400,NanJing Tech University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/18208126.png,http://www.shanghairanking.com/institution/nanjing-tech-university
301-400,Nanjing University of Aeronautics and Astronautics,41-58,0.0,http://www.shanghairanking.com/_uni/logo-jpg/4506696400.jpg,http://www.shanghairanking.com/institution/nanjing-university-of-aeronautics-and-astronautics
301-400,Nanjing University of Science and Technology,41-58,0.0,http://www.shanghairanking.com/_uni/logo/38974419.png,http://www.shanghairanking.com/institution/nanjing-university-of-science-and-technology
301-400,National and Kapodistrian University of Athens,1,0.0,http://www.shanghairanking.com/_uni/logo/95cce01c7.png,http://www.shanghairanking.com/institution/national-and-kapodistrian-university-of-athens
301-400,National Cheng Kung University,3,0.0,http://www.shanghairanking.com/_uni/logo/9b8894137.png,http://www.shanghairanking.com/institution/national-cheng-kung-university-ncku
301-400,Northeastern University (Shenyang),41-58,0.0,http://www.shanghairanking.com/_uni/logo/79513869.png,http://www.shanghairanking.com/institution/northeastern-university-shenyang
301-400,Ocean University of China,41-58,0.0,http://www.shanghairanking.com/_uni/logo/53553512.png,http://www.shanghairanking.com/institution/ocean-university-of-china
301-400,Pohang University of Science and Technology,8,0.0,http://www.shanghairanking.com/_uni/logo/a66a338cc.png,http://www.shanghairanking.com/institution/pohang-university-of-science-and-technology
301-400,Pompeu Fabra University,6-8,0.0,http://www.shanghairanking.com/_uni/logo-jpg/36552d92b00.jpg,http://www.shanghairanking.com/institution/pompeu-fabra-university
301-400,Queen's University Belfast,26-33,16.9,http://www.shanghairanking.com/_uni/logo/fae80f932.png,http://www.shanghairanking.com/institution/queens-university-belfast
301-400,RMIT University,19-22,0.0,http://www.shanghairanking.com/_uni/logo/a48f6656e.png,http://www.shanghairanking.com/institution/rmit-university
301-400,Saint Petersburg State University,2,23.9,http://www.shanghairanking.com/_uni/logo-jpg/2b28ec0e900.jpg,http://www.shanghairanking.com/institution/saint-petersburg-state-university
301-400,ShanghaiTech University,41-58,0.0,http://www.shanghairanking.com/_uni/logo/46886554.png,http://www.shanghairanking.com/institution/shanghaitech-university
301-400,Simon Fraser University,13-17,0.0,http://www.shanghairanking.com/_uni/logo/adfc503d5.png,http://www.shanghairanking.com/institution/simon-fraser-university
301-400,Stony Brook University,86-106,0.0,http://www.shanghairanking.com/_uni/logo/38db338eb.png,http://www.shanghairanking.com/institution/stony-brook-university
301-400,Swedish University of Agricultural Sciences,7-8,0.0,http://www.shanghairanking.com/_uni/logo/e61844540.png,http://www.shanghairanking.com/institution/swedish-university-of-agricultural-sciences
301-400,Technical University of Berlin,20-25,13.1,http://www.shanghairanking.com/_uni/logo/e480d3fd9.png,http://www.shanghairanking.com/institution/technical-university-of-berlin
301-400,The Hong Kong University of Science and Technology,5,0.0,http://www.shanghairanking.com/_uni/logo/1869ca1ad.png,http://www.shanghairanking.com/institution/the-hong-kong-university-of-science-and-technology
301-400,The University of Dundee,26-33,0.0,http://www.shanghairanking.com/_uni/logo/c0cd8c2bb.png,http://www.shanghairanking.com/institution/the-university-of-dundee
301-400,The University of Georgia,86-106,0.0,http://www.shanghairanking.com/_uni/logo/4cb4fc994.png,http://www.shanghairanking.com/institution/the-university-of-georgia
301-400,"The University of Newcastle, Australia",19-22,0.0,http://www.shanghairanking.com/_uni/logo/b2f27bb6a.png,http://www.shanghairanking.com/institution/the-university-of-newcastle-australia
301-400,The University of Reading,26-33,0.0,http://www.shanghairanking.com/_uni/logo/2bfe83c14.png,http://www.shanghairanking.com/institution/the-university-of-reading
301-400,The University of Texas at Dallas,86-106,13.1,http://www.shanghairanking.com/_uni/logo/f4bd79613.png,http://www.shanghairanking.com/institution/the-university-of-texas-at-dallas
301-400,The University of Texas Health Science Center at Houston,86-106,0.0,http://www.shanghairanking.com/_uni/logo-jpg/cceffd11c00.jpg,http://www.shanghairanking.com/institution/the-university-of-texas-health-science-center-at-houston
301-400,"University at Buffalo, the State University of New York",86-106,0.0,http://www.shanghairanking.com/_uni/logo/7a306da0a.png,http://www.shanghairanking.com/institution/university-at-buffalo-the-state-university-of-new-york
